DATE,AWS SERVICES,COST
2022-10-01,Tax,0
2022-10-06,AWS CloudShell,0
2022-10-10,Amazon Simple Storage Service,0
2022-10-11,AWS Data Transfer,-0.0000001787
2022-10-11,Amazon Simple Storage Service,0.0000001787
2022-10-12,AWS Data Transfer,-0.0000000267
2022-10-12,Amazon Simple Storage Service,0.0000000267
2022-10-13,AWS Data Transfer,-0.0000000178
2022-10-13,Amazon Simple Storage Service,0.0000000178
2022-10-14,AWS Cost Explorer,0
2022-10-14,AWS Data Transfer,-0.0000000267
2022-10-14,Amazon Simple Storage Service,0.0000000267
2022-10-15,AWS Data Transfer,-0.0000000178
2022-10-15,Amazon Simple Storage Service,0.0000000178
2022-10-16,AWS Data Transfer,-0.0000000267
2022-10-16,Amazon Simple Storage Service,0.0000000267
2022-10-17,AWS Cost Explorer,0
2022-10-17,AWS Data Transfer,-0.0000000446
2022-10-17,Amazon Simple Storage Service,0.0000000446
2022-10-18,AWS Cost Explorer,0
2022-10-18,AWS Data Transfer,-0.0000000178
2022-10-18,Amazon Simple Storage Service,0.0000000178
2022-10-19,AWS Cost Explorer,0
2022-10-19,AWS Data Transfer,-0.0000000178
2022-10-19,Amazon Simple Storage Service,0.0000000178
2022-10-20,AWS Cost Explorer,0
2022-10-20,AWS Data Transfer,-0.0000000178
2022-10-20,Amazon Simple Storage Service,0.0000000178
2022-10-21,AWS Cost Explorer,0
2022-10-21,AWS Data Transfer,-0.0000000179
2022-10-21,Amazon Simple Storage Service,0.0000000179
2022-10-22,AWS Data Transfer,-0.0000000178
2022-10-22,Amazon Simple Storage Service,0.0000000178
2022-10-23,AWS Data Transfer,-0.0000000178
2022-10-23,Amazon Simple Storage Service,0.0000000178
2022-10-24,AWS Data Transfer,-0.0000000356
2022-10-24,Amazon Simple Storage Service,0.0000000356
2022-10-25,AWS Cost Explorer,0
2022-10-25,AWS Data Transfer,-0.0000000089
2022-10-25,Amazon Simple Storage Service,0.0000000089
2022-10-26,AWS Cost Explorer,0
2022-10-26,AWS Data Transfer,-0.0000000536
2022-10-26,Amazon Simple Storage Service,0.0000000536
2022-10-27,AWS Cost Explorer,0
2022-10-27,AWS Data Transfer,-0.0000000268
2022-10-27,AWS Key Management Service,0
2022-10-27,Amazon Simple Storage Service,0.0000000268
